127,1,10,基礎からわかるTCP/IPネットワークコンピューティング入門,62,25,1,
128,1,10,ネットワークの教科書,63,26,1,
129,1,10,ネットワーク現場の教科書,63,26,1,
130,1,13,モバゲー・GREEでソーシャルゲームを公開するために知っておきたいこと,64,27,1,
131,1,24,良いコードを書く技術,1,5,1,
132,1,13,基礎から学ぶfacebookアプリ開発,65,12,1,
133,1,13,入門Git,66,6,1,
134,1,13,Eclips入門,67,28,1,
135,1,13,入門git,68,25,1,
136,1,13,やさしいUML入門,69,18,1,
137,1,24,大規模Webアプリケーション開発入門,1,16,1,おらいり、オライリ
138,1,13,シェルスクリプト基本リファレンス,70,5,1,
139,1,13,Trac入門,71,6,1,
140,1,24,コードの世界,72,29,1,
141,1,23,2009.52 Web+DBPress,1,5,1,
142,1,23,2009.53 Web+DBPress,26,5,1,
143,1,23,2011.62 Web+DBPress,1,5,1,
144,1,23,2012.67 Web+DBPress,26,5,1,
146,1,19,明解C言語 入門編,93,8,1,
147,1,9,一番やさしいJSP&サーブレット入門塾,94,9,1,
148,1,24,続・ハイパフォーマンスWebサイト,1,16,1,おらいり、オライリ
149,1,24,ハイパフォーマンスWebサイト,1,16,1,おらいり、オライリ
150,1,24,コードの未来,72,29,1,
151,1,13,Jenkins,1,16,1,おらいり、オライリ
152,1,20,Webエンジニアのためのデータベース技術[実践]入門,23,5,1,
153,1,19,C++ プログラミング入門,1,16,1,おらいり、オライリ
155,2,2,進撃の巨人,97,10,11,しんげきのきょじん、singekinokyojin
157,1,19,Head First C,1,16,1,おらいり、オライリ
158,1,19,C++ 実践プログラミング入門,1,16,1,おらいり、オライリ
159,1,24,大規模サービス技術入門,1,5,1, 
160,1,18,スマートフォンサービス デザインブック,98,33,1,
161,1,24,コーディングを支える技術,99,5,1,
162,1,23,2013.74 Web+DBPress,1,5,1,
163,1,23,開発ツール 徹底攻略,1,5,1,
